location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2184,2026-04-04,55315,2,49588570,49588570|49588833
2812,2026-04-04,16951,2,49605798,49605798|49606036
2812,2026-04-04,16801,2,49576194,49576194|49576550
2812,2026-04-04,16680,2,49554051,49554051|49556876
2319,2026-04-04,25943,2,49571717,49571717|49572063
2317,2026-04-04,43925,2,49615026,49615026|49619041
2317,2026-04-04,43923,2,49579905,49579905|49619928
2317,2026-04-04,43719,2,49577831,49577831|49586507
2218,2026-04-04,57766,2,49561089,49561089|49567463
2179,2026-04-04,43950,2,49604868,49604868|49604869
2184,2026-04-04,55316,2,49588656,49588656|49588797
2287,2026-04-04,64489,2,49578425,49578425|49588306
2287,2026-04-04,64494,2,49578901,49578901|49582090
2287,2026-04-04,64497,2,49579087,49579087|49583481
2287,2026-04-04,64498,2,49579307,49579307|49591555
2287,2026-04-04,64501,2,49579466,49579466|49588243
2287,2026-04-04,64508,2,49580898,49580898|49582599
2287,2026-04-04,64514,2,49581905,49581905|49584918
2287,2026-04-04,64520,2,49583728,49583728|49586248
2766,2026-04-04,7664,2,49578574,49578574|49578694
2216,2026-04-04,44499,2,49578839,49578839|49586739
2216,2026-04-04,44488,2,49582248,49582248|49590095
2287,2026-04-04,64522,2,49584046,49584046|49588575
2287,2026-04-04,64523,2,49584088,49584088|49588086
2287,2026-04-04,64525,2,49584636,49584636|49588165
2287,2026-04-04,64526,2,49584940,49584940|49588297
2287,2026-04-04,64527,2,49585184,49585184|49588541
2217,2026-04-03,26211,2,49528331,49528331|49528333
2287,2026-04-03,64105,2,49503974,49503974|49506062
2217,2026-04-03,26080,2,49507263,49507263|49515574
2217,2026-04-03,26229,2,49533107,49533107|49533108
2287,2026-04-03,64216,2,49512129,49512129|49517394
2342,2026-04-03,29726,2,49510499,49510499|49510640
2526,2026-04-03,13439,2,49509174,49509174|49519353
2515,2026-04-03,27035,2,49556392,49556392|49559608
2220,2026-04-03,46753,2,49519547,49519547|49519599
2766,2026-04-03,7475,2,49508584,49508584|49517278
2220,2026-04-03,46743,2,49518252,49518252|49518299
2287,2026-04-03,64184,2,49508991,49508991|49509695
2287,2026-04-03,64229,2,49513223,49513223|49518998
2220,2026-04-03,46685,2,49512146,49512146|49512285
2342,2026-04-03,29666,2,49502429,49502429|49502656
2287,2026-04-03,64156,2,49506957,49506957|49508656
2287,2026-04-03,64142,2,49506057,49506057|49508739
2342,2026-04-03,29853,2,49526054,49526054|49526055
2287,2026-04-03,64316,2,49523695,49523695|49528304
2287,2026-04-03,64313,2,49523143,49523143|49529338
2217,2026-04-03,26212,2,49528407,49528407|49528409
2412,2026-04-03,41776,2,49554433,49554433|49554509
2220,2026-04-02,46492,2,49455717,49455717|49463026
